Id,Context
42,"Great source of stable saturated fats: grass fed butter and meat, much better ratios of omega 3's, saturated fat and CLA's (improved brain function, causes weight loss and reduces risk of cancer). Great difference between grass fed and grain fed products. (93) "
43,Egg yolks great source of stable saturated fats. Grass fed yolks twice as nutritious. Runny yolks (not hard boiled) for better cholesterol. 
44,"Olive oil best source of monounsaturated fat. Also, contains oleocanthal and oleuropein both great antioxidants. Be careful as it can be easily damaged by heat and light exposure "
45,"Best sources of omega-3 are wild caught fish, especially salmon, sardines, anchovies, mackerel, trout, and fish or krill oil.  "
46,"Fasting, or severe carb restriction leads to ketosis where liver, in absence of other energy source, breaks down fat into ketones for fuel. Ketosis also increases GABA production, and heart energy by 28%, so should do something similar to brain (although, no proof). "
47,"Ketones are a much better energy fuel, faster with less side products and more efficient ATP production. "
48,"Extended ketosis can raise cortisol, disrupt sleep, and thyroid levels. Also transition period into ketosis is not fun.  "
49,"MCT oils in sufficient quantities trigger ketosis even if carbs are around (but have disaster pants effect). Alternatively, to trigger ketosis have < 20 grams of carbs a day and 70-85 of calories from fat which is probably short on polyphenols and other nutrients. (101) "
50,"Beyond ketosis fasting because: myelination, autophagy, reduced inflammation, but bad mood. Hack attempt: intermittent fasting, only eat in window of 6-8 hours. Also good for neurogenesis. But energy slumps. Bulletproof coffee as remedy. (102-3) "
51,Allergy blood panel for food sensitivities. Otherwise check heart rate about 90 min after consumption for about 17/m beats increase. (107) 
52,"Trans fats, in processed foods and fried food (especially reused oil) cause mitochondrial damage, inflammation, overactive immune system. Lasts a couple of days. (108) "
53,Dairy contains lactose (sugar) and casein (protein with similar structure to gluten and very usually affects gluten intolerant people). Milk protein causes inflammation and prevents usage of polyphenols (108) 
54,"Gluten, over release of zonulin which leads to leaky gut, inflammation and thyroid imbalance "
55,"Vegetable oils: too unstable, too many omega 6's -a good balance is one omega 3 for every four omega 6's, and western diet has way too many omega 6's. "
56,"Mould cripple mitochondrial performance. OTA, one of worst mould toxins, typically found in rich polyphenol foods. "
57,"Mould toxins are found in Cereals and grains mostly due to storing practices. About 42% chance your cereal has it. Don't only avoid it yourself, avoid eating animals that have been fed these (eg chicken) "
58,"Mould toxins found in coffee, mostly due to processing / storing practices. Mostly OTA but also other toxins. OTA not regulated in US. Look for single blend, high elevation, south African varieties ideally, as they are more resistant. "
59,Mould toxins often found in dried fruit which are also often sprayed with chemicals. 
60,"About 50% of all wine has the OTA mould toxin, check bulletproof site for a list of safe wines. "
61,Beer contains OTA mould toxin from the grains it is produced 
62,Chocolate contains some OTA mould toxin. European chocolate is better. 
63,"Mould toxins found in nuts, especially peanuts. Best ones are the ones that come in their shells. "
64,About a fourth of all corn is contaminated with mould toxins. This problematic because corn is everywhere. Mostly a result of pesticides making fungi hyperactive. 
65,MSG is a food additive which is a toxin damaging mitochondria by over firing neurons and depleting energy (when too many) 
66,"Sweeteners, additives, flavourings: have enough hurtful effects on mental performance to brand them neuro toxins. Additionally, they are typically added to already inflammatory foods so extra reason to avoid them. "
67,"Aspartame: over firing neurons, damaging mitochondria, also impact on gut bacteria "
68,Soy sauce contains tyramine and histamine which can impair mitochondrial functions and cause inflammation. Also contains some MSG and may contain mould toxins. 
69,"Fluoride: lowers thyroid function, so double check your tap water. "
70,GMO�s harmful mostly due to pesticides containing organophosphates which heavily impact mitochondrial functions and break down acetylcholine 
71,"Mercury: depletes antioxidants, and causes inflammation, cell damage, and mitochondrial dysfunction "
72,Insulin is used in neurotransmission so insulin resistance leads to inefficient neurons. 
73,"Sugar can make you moody, it reduces dopamine receptors and increases inflammation. Fructose worst kind due to oxidative stress and reduced oxidation defences in cells. Linked with many degenerative illnesses like Alzheimer's. "
74,"Coconut oil is a good source of saturated fat. Most MCT in it does not really act as an MCT, instead, it causes inflammation. Does contain some great MCTs but in very low potencies (<10%). Extracts like brain octane make use of these. (128-30) "
75,"Frying, grilling and smoking meat: HCA + PAH. They impair mitochondrial functions, induce oxidative damage and prevent apoptosis. Both carcinogenic, possibly due to apoptosis effect. Proteins can get damaged and not function as well (but not toxic) (131) "
76,"Cooking fats (oxidised) produce suboptimal cell membranes, mitochondria fuel and myelin. They also inflate. He avoids cooking with fat almost entirely. (132) "
77,"Mould-test your house / environment, avoid food, battle with supplements if/when consumed (143-6) "
78,"Heavy metals are toxins that impair mitochondria. In air, water, food, products (146) "
79,"Arsenic is Carcinogenic and neurotoxic. Found in many pesticides, herbicides etc. gets in groundwater, seawater, seafood etc. also in glass, metal, paint in buildings. 8x potency in brown rice (vs white). "
80,"Cadmium impairs mitochondria and increases oxidative stress: in some grains, also steel plating, glass pigment (not much any more). (148) "
81,"Lead impairs mitochondrial functions. Found in old paint, and sometimes water (from pipes). (148) "
82,"Mercury: Causes fatigue, depression, irritation, memory / focus issues, nerve degeneration. Found in seawater, so in fish and seafood. Fluorescent bulbs when broken. (148) "
83,Study on 550 drugs (prescribed) showed that 34% damage mitochondria 
84,Antibiotics damage mitochondria (which have after all developed from bacteria). Supplement with glutathione for extra protection when you need to take them. 
85,"Anticonvulsants, antidepressants, barbiturates, cholesterol medication, aspirin, acetaminophen, antiarrhythmics, antivirals (interferon), cancer medication, diabetes medication, beta blockers, all have some negative impact on mitochondrial functions. "
86,"Body has highly evolved and complicated detox system to fight all kinds of toxins. Very varied from person to person (most varied), but can be made stronger. By providing nutrients needed, and by encouraging certain processes like sweating and breaking down fat as toxins get stored there. "
87,Sauna helpful detox practice due to sweating. Infrared ones even better due to benefit to mitochondria and the ability to stay longer. But remember to drink lots of fluids and salt. 
88," Exercise is a great detox practice due to the combination of sweating, increased lipolysis (more toxins released from broken down fat), and increased circulation useful in breaking down toxins. If brain fog after, supplement with toxin-binding substance. "
89,Chelation therapy: very effective for detoxing heavy metals but could be dangerous if kidney / liver already damaged by heavy metals 
90,Improved circulation reduces inflammation. Better oxygen delivery boosts energy production and detoxification processes. 
91,Chlorella: toxin binding algae. Good for when eating fish with heavy metals. 
92,"Visual system ~15% of energy budget. Actually, detecting shades of grey good test for mitochondrial function. Unusual spectrums of light take excess energy to process. "
93,"Ultra violet light: too much is bad, but some is needed to activate vit D and help in circadian rhythm.  "
94,"Fluorescent and led light have much reduced infrared, red and violet which is useful and too much blue which is unusual and expensive to process.  "
95,Daylight supports production of serotonin. This breaks down to melatonin needed for sleep. 
96,"EZ-water supports mitochondrial function so should be plentiful within cells. Toxins and junk light alter the structure of this water. Natural light and vegetables help produce it. Exposure to unobscured natural light best. In artificial light, make sure you get enough red / infrared frequencies. "
97,"Switch to halogen lamps or supplement blue rich light with red led, UV, infrared rich lamps. Outdoor light the best. But need direct contact with skin (no tinted glass, sun cream etc) "
98,Collagen: main structural protein in body. Has relationship with mitochondria. Growth of both is boosted by infrared and red light.  
99,"Irlen syndrome (trouble with certain frequencies) possibly up to 50%, people sensitive enough to contrasts like reading a book and driving at night can have chronic stress from visual processing leading to eye strain, fatigue, headaches, focus troubles, dizziness, reading difficulties. Special glasses to counter symptoms. "
100,"Oxygen needed for energy production so intake is important. Funnily, restricting intake, makes consumption more efficient or toughened. Eliminate the weak, train the strong. Eg this is why high-altitude training is beneficial. Hypoxia also increases BDNF production. "
101,Suggests Wim Hof's breathing techniques to enforce more efficient energy 
102,"Use cold to force thermogenesis, burn fat, improve thyroid function, increase testosterone, growth hormone, norepinephrine and PGC-1 production, stimulate autophagy, increases insulin sensitivity, reduces inflammation "
103,"Cold therapy also for strengthening vagus nerve, central part of parasympathetic nervous system, connects brain to heart, stomach, lungs, and other organs. The stronger it is the faster you can calm down after flight or fight response. (and shuts down inflammation faster) "
104,Lymphatic system clears out waste and toxins from body relying on muscle movements and EZ water. Glymphatic system same function for brain. 
105,The glymphatic system is highly active on sleep. Brain cells shrink during sleep to aid (by making space) in cleansing out cellular waste and neurotoxins. All this is powered by mitochondria.  
106,"During sleep we produce more growth hormone, brain cell connections are strengthened and memory improved. "
107,Growth hormone: stimulates neurogenesis and mitochondrial growth. 
108,"Consistent poor sleep disturbs blood sugar levels, which leads to cravings, mood swings etc. "
109,Boost mitochondria to make glymphatic process more efficient to get better quality of sleep and ultimately need less of it. 
110,"Known that meditation has important benefits, has been correlated with lowered stress and structural changes on brain connected to intelligence, complex thoughts, body awareness, concentration, problem solving. Reduces levels of adrenaline and cortisol (stress) "
111,"Best to use some kind of real time feedback when meditating for objective clarity and to keep you on the track. Various machines to do this tracking brain waves, or blood flow. 40 years of zen is an extreme example of this. "
112,"BDNF improves neurogenesis, neuroprotection, cell survival, synaptic plasticity, memories "
113,"Neurogenesis: the creation of new neurons. A high rate is linked with cognitive enhancement, learning, problem solving, and resilience against stress, anxiety and depression. "
114,"Exercise, especially HIIT, releases PGC-1 and FNDC5. Also, decreases BMP (which reduces neurogenesis) and increases noggin which increases it. Also, mTOR which helps weed out weak mitochondria and train the strong. "
115,"PGC-1 contributes in regulation of metabolism and mitochondrial generation. Also, raises FNDC5 production which leads to more BDNF. "
116,"Regular exercise lowers blood sugar, increases insulin sensitivity, endorphins production, circulation. "
117,Daily functional movement (even walking) could be even more beneficial to brain than infrequent bursts of exercise 
118,"Resistance training: decreases anxiety, fatigue, improves memory, cognition, happiness, lymphatic movement (detox) testosterone, growth hormone. Stressing body to make it better so give it enough rest. About once a week best. Too much raises cortisol levels and BDNF drops "
119,Endurance training boosts BDNF in a more long term / permanent way. 3-4/w exercise ideal.  
120,"HIIT training a combination of the two (endurance and resistance) that the author favours. Not much comparative data, although it seems it's better at increasing growth hormone than either alone. "
121,"To increase cardial fitness (ejection fraction - heart pump volume) you need high intensity cardio, medium might actually decrease it. Sprint (eg 400m) rest a minute (walk or lay down) and repeat to failure. "
122,"Vibration side effect of exercise good for EZ water and cellular health. Also, vibrating gear for effect or trampoline! Or vibrations from sound but not much scientific validation yet, although there are many hacks out there "
123,"Melanin, when exposed to light or vibrations (exercise in sunlight perfect combo) can break down water to produce oxygen which can be used for energy production"
124,Melanin made from polyphenols 
125,Coffee contains both polyphenols and melanin 
126,"Blending coffee with butter more beneficial than having them separately. Not sure why, but hypotheses it has something to do with EZ water production "
