Context,node1,node2,node3,node4,node5,node6,node7,node8,node9,node10,node11
91,detox,fish,heavy-metals,,,,,,,,
92,energy,light,,,,,,,,,
93,UV-light,,,,,,,,,,
94,infrared-light,light,,,,,,,,,
95,serotonin,sunlight,melatonin,sleep,,,,,,,
96,EZ-water,light,sunlight,mitochondria,vegetables,toxins,,,,,
97,light,UV-light,infrared-light,sunlight,,,,,,,
98,mitogenesis,infrared-light,collagen,,,,,,,,
98,collagen,infrared-light,,,,,,,,,
99,light,stress,focus,,,,,,,,
100,oxygen,BDNF,energy-production,,,,,,,,
101,breathing,energy,,,,,,,,,
102,cold,testosterone,norepinephrine,autophagy,insulin,thyroid,growth-hormone,inflammation,PGC-1,,
103,cold,calming,,,,,,,,,
104,lymphatic-system,detox,,,,,,,,,
104,glymphatic-system,detox,EZ-water,,,,,,,,
105,glymphatic-system,sleep,,,,,,,,,
106,sleep,growth-hormone,memory,,,,,,,,
107,growth-hormone,mitogenesis,neurogenesis,,,,,,,,
108,sugar,sleep,cravings,mood,,,,,,,
109,glymphatic-system,mitochondria,sleep,,,,,,,,
110,meditation,cortisol,stress,adrenaline,,,,,,,
111,meditation,,,,,,,,,,
112,BDNF,neurogenesis,memory,,,,,,,,
113,neurogenesis,neurons,stress,anxiety,depression,,,,,,
114,exercise,mitochondria,PGC-1,,,,,,,,
115,mitogenesis,metabolism,BDNF,,,,,,,,
115,BDNF,PGC-1,,,,,,,,,
116,exercise,sugar,insulin,circulation,,,,,,,
117,exercise,,,,,,,,,,
118,exercise,anxiety,fatigue,memory,happiness,lymphatic-system,testosterone,growth-hormone,stress,cortisol,BDNF
119,BDNF,exercise,,,,,,,,,
120,exercise,growth-hormone,,,,,,,,,
121,EZ-water,,,,,,,,,,
122,exercise,EZ-water,,,,,,,,,
123,melanin,energy-production,sunlight,,,,,,,,
124,melanin,polyphenols,,,,,,,,,
125,coffee,melanin,polyphenols,,,,,,,,
126,coffee,EZ-water,butter,,,,,,,,
